Date,Payee,Concepto,Referencia,Outflow,Inflow
02/OCT/2023,,VENTA DEL 010120004 2102023,0.0,,47.47
02/OCT/2023,,TASA DE DESCUENTO 010120004 21,0.0,.95,
02/OCT/2023,,ITBMS 010120004 2102023,0.0,.07,
02/OCT/2023,,VENTA DEL 010120004 2102023,0.0,,316.16
02/OCT/2023,,TASA DE DESCUENTO 010120004 21,0.0,6.32,
02/OCT/2023,,ITBMS 010120004 2102023,0.0,.44,
02/OCT/2023,,RETENCION 010120004 2102023,0.0,2.06,
03/OCT/2023,,TRNF/LIQ. ADQ. PRESTIGE STORAGE MINI/20231003,179690.0,,532.11
03/OCT/2023,,COMISION/LIQ ADQ PRESTIGE STORAGE MINI/20231003,179691.0,11.38,
03/OCT/2023,,ITBMS/COMISION/LIQ ADQ PRESTIGE STORAGE MINI,179691.0,.80,
03/OCT/2023,,RETENCION/LIQ ADQ PRESTIGE STORAGE MINI/20231003,179691.0,18.62,
03/OCT/2023,,"ACH-L OREAL PANAMA, S.A. CITIBANK NATION",3830156.0,,1344.78
03/OCT/2023,,VENTA DEL 010120004 3102023,0.0,,909.5
03/OCT/2023,,TASA DE DESCUENTO 010120004 31,0.0,18.19,
03/OCT/2023,,ITBMS 010120004 3102023,0.0,1.27,
03/OCT/2023,,RETENCION 010120004 3102023,0.0,31.83,
05/OCT/2023,,VENTA DEL 010120004 5102023,0.0,,401.41
05/OCT/2023,,TASA DE DESCUENTO 010120004 51,0.0,8.03,
05/OCT/2023,,ITBMS 010120004 5102023,0.0,.56,
05/OCT/2023,,RETENCION 010120004 5102023,0.0,6.31,
06/OCT/2023,,VENTA DEL 010120004 6102023,0.0,,238.21
06/OCT/2023,,TASA DE DESCUENTO 010120004 61,0.0,4.77,
06/OCT/2023,,ITBMS 010120004 6102023,0.0,.33,
06/OCT/2023,,RETENCION 010120004 6102023,0.0,7.79,
09/OCT/2023,,Cuenta Propia INMOBILIARIA TOPIADT *4101,649324.0,5000.0,
10/OCT/2023,,TRNF/LIQ. ADQ. PRESTIGE STORAGE MINI/20231010,0.0,,20.97
10/OCT/2023,,COMISION/LIQ ADQ PRESTIGE STORAGE MINI/20231010,0.0,.45,
10/OCT/2023,,ITBMS/COMISION/LIQ ADQ PRESTIGE STORAGE MINI,0.0,.03,
10/OCT/2023,,RETENCION/LIQ ADQ PRESTIGE STORAGE MINI/20231010,0.0,.69,
10/OCT/2023,,VENTA DEL 010120004 10102023,0.0,,140.37
10/OCT/2023,,TASA DE DESCUENTO 010120004 10,0.0,2.81,
10/OCT/2023,,ITBMS 010120004 10102023,0.0,.20,
10/OCT/2023,,RETENCION 010120004 10102023,0.0,4.92,
